Year,Event,Player,Team,Value
1940,RBI,Hank Greenberg,Detroit,150
1940,Runs,Ted Williams,Boston,134
1940,Slugging Average,Hank Greenberg,Detroit,.670
1940,Stolen Bases,George Case,Washington,35
1940,Total Bases,Hank Greenberg,Detroit,384
1940,Triples,Barney McCosky,Detroit,19
1941,Base on Balls,Ted Williams,Boston,147
1941,Batting Average,Ted Williams,Boston,.406
1941,Doubles,Lou Boudreau,Cleveland,45
1941,Hits,Cecil Travis,Washington,218
1941,Home Runs,Ted Williams,Boston,37
1941,On Base Percentage,Ted Williams,Boston,.551
1941,RBI,Joe DiMaggio,New York,125
1941,Runs,Ted Williams,Boston,135
1941,Slugging Average,Ted Williams,Boston,.735
1941,Stolen Bases,George Case,Washington,33
1941,Total Bases,Joe DiMaggio,New York,348
1941,Triples,Jeff Heath,Cleveland,20
1942,Base on Balls,Ted Williams,Boston,145
1942,Batting Average,Ted Williams,Boston,.356
1942,Doubles,Don Kolloway,Chicago,40
1942,Hits,Johnny Pesky,Boston,205
1942,Home Runs,Ted Williams,Boston,36
1942,On Base Percentage,Ted Williams,Boston,.499
1942,RBI,Ted Williams,Boston,137
1942,Runs,Ted Williams,Boston,141
1942,Slugging Average,Ted Williams,Boston,.648
1942,Stolen Bases,George Case,Washington,44
1942,Total Bases,Ted Williams,Boston,338
1942,Triples,Stan Spence,Washington,15
1943,Base on Balls,Charlie Keller,New York,106
1943,Batting Average,Luke Appling,Chicago,.328
1943,Doubles,Dick Wakefield,Detroit,38
1943,Hits,Dick Wakefield,Detroit,200
1943,Home Runs,Rudy York,Detroit,34
1943,On Base Percentage,Luke Appling,Chicago,.419
1943,RBI,Rudy York,Detroit,118
1943,Runs,George Case,Washington,102
1943,Slugging Average,Rudy York,Detroit,.527
1943,Stolen Bases,George Case,Washington,61
1943,Total Bases,Rudy York,Detroit,301
1943,Triples,Johnny Lindell,New York,12
1944,Base on Balls,Nick Etten,New York,97
1944,Batting Average,Lou Boudreau,Cleveland,.327
1944,Doubles,Lou Boudreau,Cleveland,45
1944,Hits,Snuffy Stirnweiss,New York,205
1944,Home Runs,Nick Etten,New York,22
1944,On Base Percentage,Bob Johnson,Boston,.431
1944,RBI,Vern Stephens,St. Louis,109
1944,Runs,Snuffy Stirnweiss,New York,125
1944,Slugging Average,Bobby Doerr,Boston,.528
1944,Stolen Bases,Snuffy Stirnweiss,New York,55
1944,Total Bases,Johnny Lindell,New York,297
1944,Triples,Johnny Lindell,New York,16
1945,Base on Balls,Roy Cullenbine,Cleveland,113
1945,Batting Average,Snuffy Stirnweiss,New York,.309
1945,Doubles,Wally Moses,Chicago,35
1945,Hits,Snuffy Stirnweiss,New York,195
1945,Home Runs,Vern Stephens,St. Louis,24
1945,On Base Percentage,Eddie Lake,Boston,.412
1945,RBI,Nick Etten,New York,111
1945,Runs,Snuffy Stirnweiss,New York,107
1945,Slugging Average,Snuffy Stirnweiss,New York,.476
1945,Stolen Bases,Snuffy Stirnweiss,New York,33
1945,Total Bases,Snuffy Stirnweiss,New York,301
1945,Triples,Snuffy Stirnweiss,New York,22
1946,Base on Balls,Ted Williams,Boston,156
1946,Batting Average,Mickey Vernon,Washington,.353
1946,Doubles,Mickey Vernon,Washington,51
1946,Hits,Johnny Pesky,Boston,208
1946,Home Runs,Hank Greenberg,Detroit,44
1946,On Base Percentage,Ted Williams,Boston,.497
1946,RBI,Hank Greenberg,Detroit,127
1946,Runs,Ted Williams,Boston,142
1946,Slugging Average,Ted Williams,Boston,.667
1946,Stolen Bases,George Case,Cleveland,28
